segment_dimension,segment_column,metric,raw_standard_rate_pct,raw_random_rate_pct,raw_gap_pp,adjusted_standard_rate_pct,adjusted_random_rate_pct,adjusted_gap_pp,adjustment_effect_pp
用户活跃度,user_active_degree,点击/有效播放率,45.11706252442766,17.61596696257912,27.50109556184854,44.791574044548035,17.638819684964872,27.152754359583163,-0.34834120226537735
用户活跃度,user_active_degree,长播率,31.83291309114932,8.496191978577613,23.336721112571706,31.578582628900914,8.506652701705288,23.071929927195626,-0.2647911853760796
用户活跃度,user_active_degree,完整播放率,14.324654176089702,3.3186874580660657,11.005966718023636,14.210928029751074,3.3217394025168647,10.889188627234208,-0.11677809078942758
用户活跃度,user_active_degree,正向互动率,2.143062199302017,0.5573968697751948,1.5856653295268224,2.093793157173101,0.559032479572587,1.534760677600514,-0.05090465192630833
注册时长,register_days_group,点击/有效播放率,45.11706252442766,17.61596696257912,27.50109556184854,45.05569071439625,17.622434603637675,27.433256110758574,-0.06783945108996647
注册时长,register_days_group,长播率,31.83291309114932,8.496191978577613,23.336721112571706,31.781896013480814,8.499469131758977,23.28242688172184,-0.054294230849865954
注册时长,register_days_group,完整播放率,14.324654176089702,3.3186874580660657,11.005966718023636,14.29984355847471,3.3198496638534127,10.979993894621296,-0.02597282340233953
注册时长,register_days_group,正向互动率,2.143062199302017,0.5573968697751948,1.5856653295268224,2.1314715661961743,0.5582116564290239,1.5732599097671502,-0.012405419759672132
视频时长,duration_group,点击/有效播放率,45.11706252442766,17.61596696257912,27.50109556184854,45.06191076514949,17.634668520136234,27.427242245013257,-0.07385331683528307
视频时长,duration_group,长播率,31.83291309114932,8.496191978577613,23.336721112571706,31.714431461496567,8.521547307976885,23.19288415351968,-0.14383695905202387
视频时长,duration_group,完整播放率,14.324654176089702,3.3186874580660657,11.005966718023636,13.791523266185028,3.374213003695805,10.417310262489222,-0.588656455534414
视频时长,duration_group,正向互动率,2.143062199302017,0.5573968697751948,1.5856653295268224,2.132702173021681,0.558417966976007,1.574284206045674,-0.011381123481148281
视频类型,video_type,点击/有效播放率,45.11706252442766,17.61596696257912,27.50109556184854,45.114637251009995,17.615709463602652,27.498927787407343,-0.002167774441197423
视频类型,video_type,长播率,31.83291309114932,8.496191978577613,23.336721112571706,31.83105765517642,8.49604776057075,23.33500989460567,-0.0017112179660365712
视频类型,video_type,完整播放率,14.324654176089702,3.3186874580660657,11.005966718023636,14.327665917708252,3.319196659043215,11.008469258665038,0.0025025406414016516
视频类型,video_type,正向互动率,2.143062199302017,0.5573968697751948,1.5856653295268224,2.143062263201403,0.5573966832237691,1.5856655799776338,2.5045081142316405e-07
画面方向,screen_orientation,点击/有效播放率,45.11706252442766,17.61596696257912,27.50109556184854,45.20009942799756,17.61619909149738,27.58390033650018,0.08280477465163827
画面方向,screen_orientation,长播率,31.83291309114932,8.496191978577613,23.336721112571706,31.900032528341924,8.496602259752846,23.403430268589076,0.06670915601737093
画面方向,screen_orientation,完整播放率,14.324654176089702,3.3186874580660657,11.005966718023636,14.2708798307804,3.3372163141984963,10.933663516581904,-0.07230320144173241
画面方向,screen_orientation,正向互动率,2.143062199302017,0.5573968697751948,1.5856653295268224,2.1401927081123726,0.5575073376793971,1.5826853704329755,-0.002979959093846851
