metric,metric_level,random_numerator,standard_numerator,random_denominator,standard_denominator,random_rate_pct,standard_rate_pct,gap_pp
完整播放率,exposure,38136.0,40728.0,1149129.0,284321.0,3.3186874580660657,14.324654176089702,11.005966718023636
正向互动率,exposure,6611.0,6196.0,1186049.0,289119.0,0.5573968697751948,2.143062199302017,1.5856653295268224
点击/有效播放率,exposure,208934.0,130442.0,1186049.0,289119.0,17.61596696257912,45.11706252442766,27.50109556184854
点击后完整播放率,post_click,38056.0,40598.0,206142.0,129353.0,18.46106082215172,31.385433658283922,12.924372836132203
点击后正向互动率,post_click,4215.0,5197.0,208934.0,130442.0,2.0173834799506065,3.9841462105763483,1.9667627306257418
点击后负反馈率,post_click,307.0,107.0,208934.0,130442.0,0.14693635310672268,0.0820287944067095,-0.06490755870001318
点击后长播率,post_click,100404.0,91710.0,208934.0,130442.0,48.05536676653872,70.30710967326475,22.25174290672603
负反馈率,exposure,1351.0,227.0,1186049.0,289119.0,0.11390760415463443,0.07851438335080019,-0.03539322080383424
进入主页率,exposure,6597.0,5490.0,1186049.0,289119.0,0.5562164800948358,1.8988720907308063,1.3426556106359704
长播率,exposure,100769.0,92035.0,1186049.0,289119.0,8.496191978577613,31.83291309114932,23.336721112571706
